timestamp,estacao,temperatura_c,umidade_relativa_pct,pressao_hpa,velocidade_vento_ms,direcao_vento_graus,mp25_ugm3,mp10_ugm3,co_ppm,co2_ppm,nox_ppb,so2_ppb,ch4_ppm
2026-07-01 00:00:00,Missao_Ambiental,14.4,92.1,1014.9,2.7,56.0,15.5,27.2,0.87,413.0,33.3,5.07,1.863
2026-07-01 01:00:00,Missao_Ambiental,13.1,89.0,1007.8,0.6,220.0,18.4,29.1,0.61,610.0,28.6,6.14,1.786
2026-07-01 02:00:00,Missao_Ambiental,11.6,98.0,1009.5,1.6,23.0,17.8,25.8,0.86,579.0,41.1,5.97,1.815
2026-07-01 03:00:00,Missao_Ambiental,13.0,95.1,1013.6,0.0,197.0,21.0,39.1,0.85,586.3,28.2,,1.842
2026-07-01 04:00:00,Missao_Ambiental,11.7,98.0,1014.0,0.0,51.0,22.5,39.7,0.85,575.4,28.1,6.66,1.978
2026-07-01 05:00:00,Missao_Ambiental,12.2,95.9,1009.7,0.0,263.0,23.5,38.4,0.76,593.4,26.1,6.72,2.023
2026-07-01 06:00:00,Missao_Ambiental,13.7,98.0,1005.1,3.3,9.0,,14.4,0.88,,32.1,8.96,1.859
2026-07-01 07:00:00,Missao_Ambiental,14.0,85.5,1015.7,2.8,289.0,27.1,50.1,1.11,409.5,43.0,5.22,1.783
2026-07-01 08:00:00,Missao_Ambiental,16.8,82.5,1013.0,2.3,150.0,20.0,31.4,1.04,417.6,47.4,9.77,1.914
2026-07-01 09:00:00,Missao_Ambiental,18.3,74.7,1007.2,2.5,103.0,22.0,36.3,1.02,417.1,46.8,5.93,1.807
2026-07-01 10:00:00,Missao_Ambiental,20.9,71.5,1015.4,1.6,132.0,20.0,33.4,0.93,405.1,26.6,6.2,1.86
2026-07-01 11:00:00,Missao_Ambiental,19.1,62.8,1009.8,3.0,249.0,16.9,24.8,0.7,408.3,28.1,7.63,1.802
2026-07-01 12:00:00,Missao_Ambiental,22.5,62.6,1008.2,2.7,34.0,8.6,13.5,0.9,427.8,31.8,6.5,1.928
2026-07-01 13:00:00,Missao_Ambiental,,54.3,1013.9,1.8,2.0,15.1,26.4,0.54,402.1,33.9,4.05,1.963
2026-07-01 14:00:00,Missao_Ambiental,25.2,47.6,1015.9,2.9,237.0,10.9,17.3,0.74,406.7,25.1,5.85,1.927
2026-07-01 15:00:00,Missao_Ambiental,24.3,53.3,1013.0,4.0,208.0,8.8,15.5,0.71,403.9,32.9,5.55,1.957
2026-07-01 16:00:00,Missao_Ambiental,24.4,50.6,1010.5,1.0,306.0,10.7,18.0,0.64,422.6,32.3,,1.912
2026-07-01 17:00:00,Missao_Ambiental,23.3,48.8,1014.1,3.1,251.0,17.8,27.5,1.29,427.7,48.1,7.03,2.208
2026-07-01 18:00:00,Missao_Ambiental,22.9,61.9,1015.9,3.2,320.0,17.0,24.6,0.85,412.7,45.5,10.63,1.751
2026-07-01 19:00:00,Missao_Ambiental,21.8,56.0,1011.6,2.3,46.0,27.8,41.9,1.1,409.0,46.3,6.09,1.848
2026-07-01 20:00:00,Missao_Ambiental,22.1,71.1,1006.9,1.4,286.0,12.6,18.1,0.47,427.6,35.2,3.6,1.873
2026-07-01 21:00:00,Missao_Ambiental,17.4,72.4,1018.3,1.6,238.0,,27.1,0.97,397.2,27.1,8.53,1.843
2026-07-01 22:00:00,Missao_Ambiental,17.0,84.6,1010.2,1.1,177.0,9.2,14.9,0.7,444.5,21.4,5.12,1.91
2026-07-01 23:00:00,Missao_Ambiental,16.7,81.8,1016.5,1.2,237.0,13.6,23.0,0.73,421.7,34.0,9.17,1.801
2026-07-02 00:00:00,Missao_Ambiental,16.3,84.9,1012.5,1.8,346.0,12.5,19.5,0.75,411.2,35.1,6.71,1.845
2026-07-02 01:00:00,Missao_Ambiental,13.9,97.9,1015.4,1.8,102.0,22.4,40.4,0.61,587.7,30.7,8.56,1.853
2026-07-02 02:00:00,Missao_Ambiental,12.9,98.0,1012.3,2.3,270.0,18.5,34.2,0.76,607.6,30.1,7.36,1.875
2026-07-02 03:00:00,Missao_Ambiental,12.4,98.0,1013.3,1.8,227.0,13.0,20.3,0.65,605.4,34.7,7.25,1.95
2026-07-02 04:00:00,Missao_Ambiental,12.2,95.6,1013.2,0.5,159.0,18.9,27.6,0.84,594.2,26.6,4.36,1.919
2026-07-02 05:00:00,Missao_Ambiental,13.1,94.6,1011.6,1.4,31.0,24.8,46.5,0.65,577.2,28.7,6.62,2.018
2026-07-02 06:00:00,Missao_Ambiental,14.8,92.0,1012.9,1.5,4.0,11.7,17.1,0.71,424.8,25.0,7.04,2.023
2026-07-02 07:00:00,Missao_Ambiental,14.9,89.1,1015.1,2.1,80.0,21.9,41.5,1.23,421.5,40.4,6.05,1.94
2026-07-02 08:00:00,Missao_Ambiental,18.2,85.3,1019.5,1.7,210.0,21.2,36.3,1.23,407.4,41.4,1.75,1.858
2026-07-02 09:00:00,Missao_Ambiental,17.1,75.6,1014.0,4.4,111.0,23.9,35.4,1.23,400.2,56.0,8.36,1.862
2026-07-02 10:00:00,Missao_Ambiental,17.5,73.9,1012.7,3.7,149.0,14.0,25.7,0.71,420.1,30.3,5.1,1.95
2026-07-02 11:00:00,Missao_Ambiental,19.7,61.9,1013.4,3.0,82.0,18.6,29.4,0.95,425.0,25.5,9.1,1.909
2026-07-02 12:00:00,Missao_Ambiental,23.7,57.6,1019.2,4.3,316.0,10.3,14.6,0.68,429.7,38.2,4.07,1.955
2026-07-02 13:00:00,Missao_Ambiental,24.5,46.3,1009.5,0.5,325.0,15.2,27.2,0.39,444.4,21.7,2.59,1.896
2026-07-02 14:00:00,Missao_Ambiental,24.3,50.7,1006.8,2.4,228.0,13.9,20.4,0.71,425.5,24.4,4.97,1.815
2026-07-02 15:00:00,Missao_Ambiental,23.9,53.8,1010.0,3.0,69.0,11.1,16.0,0.64,418.4,23.8,4.89,1.804
